ID,Cohort,Bike_Demand,Latitude,Longitude,Station_Name_KO,Station_Name_EN,District,Road,Full_Address
2715,D,63.617,37.56692505,126.8274384,마곡나루역 2번 출구,마곡나루역 2번 출구,Gangseo-gu,Magokjungang 5-ro,"마곡나루역 2번 출구, Magokjungang 5-ro, 마곡지구도시개발지구, Gayang 1(il)-dong, Gangseo-gu, Seoul, 07788, South Korea"
502,D,47.439,37.53186035,127.0671921,자양(뚝섬한강공원)역 1번출구 앞,자양(뚝섬한강공원)역 1번출구 앞,Gwangjin-gu,Jayanggangbyeon-gil,"자양(뚝섬한강공원)역 1번출구 앞, Jayanggangbyeon-gil, Jayang 3(sam)-dong, Gwangjin-gu, Seoul, 05101, South Korea"
4217,D,47.399,37.55557632,126.8968887,한강공원 망원나들목,한강공원 망원나들목,Mapo-gu,망원지하보도,"한강공원 망원나들목, 망원지하보도, Mangwon-dong, Mangwon 1(il)-dong, Mapo-gu, Seoul, 03954, South Korea"
2701,D,44.817,37.56520081,126.8273163,마곡나루역 5번출구 뒤편,마곡나루역 5번출구 뒤편,Gangseo-gu,Magokjungang-ro,"마곡나루역 5번출구 뒤편, Magokjungang-ro, 마곡지구도시개발지구, Gayang 1(il)-dong, Gangseo-gu, Seoul, 07788, South Korea"
1210,D,43.11,37.51312637,127.1009598,롯데월드타워(잠실역2번출구 쪽),롯데월드타워(잠실역2번출구 쪽),Songpa-gu,Olympic-ro,"롯데월드타워(잠실역2번출구 쪽), Olympic-ro, Sincheon-dong, Jamsil 6(yuk)-dong, Songpa-gu, Seoul, 05510, South Korea"
207,D,43.008,37.52715683,126.9319,여의나루역 1번출구 앞,여의나루역 1번출구 앞,Yeongdeungpo-gu,Yeouidong-ro,"여의나루역 1번출구 앞, Yeouidong-ro, Yeouido-dong, Yeoui-dong, Yeongdeungpo-gu, Seoul, 07336, South Korea"
2728,D,39.984,37.56580353,126.8280792,마곡나루역 3번 출구,마곡나루역 3번 출구,Gangseo-gu,Magokjungang-ro,"마곡나루역 3번 출구, Magokjungang-ro, 마곡지구도시개발지구, Gayang 1(il)-dong, Gangseo-gu, Seoul, 07788, South Korea"
2102,D,37.632,37.48408508,126.9268875,봉림교 교통섬,봉림교 교통섬,Gwanak-gu,Nambusunhwan-ro,"봉림교 교통섬, Nambusunhwan-ro, Sillim-dong, Gwanak-gu, Seoul, 08759, South Korea"
2622,D,34.603,37.51625824,127.1305924,올림픽공원역 3번출구,올림픽공원역 3번출구,Songpa-gu,Yangjae-daero,"올림픽공원역 3번출구, Yangjae-daero, Oryun-dong, Songpa-gu, Seoul, 05648, South Korea"
1911,D,33.732,37.48493958,126.9013214,구로디지털단지역 앞,구로디지털단지역 앞,Guro-gu,Siheung-daero,"구로디지털단지역 앞, Siheung-daero, Guro 3(sam)-dong, Guro-gu, Seoul, 08391, South Korea"
1153,D,32.785,37.55894852,126.8371735,"발산역 1번, 9번 인근 대여소","발산역 1번, 9번 인근 대여소",Gangseo-gu,Gonghang-daero,"발산역 1번, 9번 인근 대여소, Gonghang-daero, 마곡지구도시개발지구, Gayang 1(il)-dong, Gangseo-gu, Seoul, 07803, South Korea"
2177,D,32.44,37.48712921,126.9130173,조원로17길 (관악구),"Jowon-ro 17-gil, Gwanak-gu",Gwanak-gu,Jowon-ro 17-gil,"Boramae Overpass, Jowon-ro 17-gil, Jowon-dong, Gwanak-gu, Seoul, 08701, South Korea"
247,D,31.875,37.53342056,126.9022369,당산역 10번출구 앞,당산역 10번출구 앞,Yeongdeungpo-gu,Yangpyeong-ro,"당산역 10번출구 앞, Yangpyeong-ro, Dangsan-dong 5-ga, Dangsan 2(i)-dong, Yeongdeungpo-gu, Seoul, 07223, South Korea"
2608,D,30.198,37.5150528,127.1062698,송파구청,송파구청,Songpa-gu,Olympic-ro,"송파구청, Olympic-ro, Sincheon-dong, Jamsil 6(yuk)-dong, Songpa-gu, Seoul, 05551, South Korea"
230,D,28.681,37.52463531,126.8962174,영등포구청역 1번출구,영등포구청역 1번출구,Yeongdeungpo-gu,Dangsan-ro,"영등포구청역 1번출구, Dangsan-ro, Dangsan-dong 3-ga, Dangsan 1(il)-dong, Yeongdeungpo-gu, Seoul, 07260, South Korea"
